Unique_Op_ID,Index,Bid_Status,Last_Update,Update_Comment,Bid_Type,Client,Project,Region,Country,Water_Depth_Min,Water_Depth_Max,Survey_Type,Date_Received,Date_Submitted,Node_Type,Crew Node
202402_RFQ_SLB_E7_USA_ROV,12,Lost,2-Oct-2024,Lost to PXGEO,RFQ,SLB,E7,GOM,USA,900,2700,ROV,20-Feb-2024,8-Mar-2024,MASS,4000
202403_DIR_VIRI_LAC_USA_ROV,,Award,10-Oct-2024,Direct Award,DIR,Viridien,Laconia,GOM,USA,600,2300,ROV,1-Mar-2024,27-Mar-2024,,
202403_RFQ_SLB_E6_USA_ROV,,Lost,10-Oct-2024,Lost to PXGEO,RFQ,SLB,E6,GOM,USA,,,ROV,1-Mar-2024,,,
202403_RFQ_SLB_E5_USA_ROV,,Lost,10-Oct-2024,Lost to PXGEO,RFQ,SLB,E5,GOM,USA,,,ROV,1-Mar-2024,,,
202403_RFP_PETR_WHA_BRA_ROV,10,Lost,2-Oct-2024,SAE L1 bidder,RFP,Petrobras,"Whales Park, Roncador",SAM,Brazil,500,2000,ROV,7-Mar-2024,2-May-2024,ZXPLR,3000
202403_RFP_PETR_TUP_BRA_ROV,9,Lost,2-Oct-2024,PXGEO L1 bidder,RFP,Petrobras,"Tupi, Iracema",SAM,Brazil,2000,2250,ROV,11-Mar-2024,20-May-2024,ZXPLR,3000
202403_RFP_SHEL_GOM_USA_ROV,11,Award,2-Oct-2024,Won,RFP,Shell,GOM Program,GOM,USA,800,3000,ROV,11-Mar-2024,30-Apr-2024,ZXPLR,4500
202403_RFP_PETR_ITA_BRA_ROV,8,Lost,2-Oct-2024,SAE L1 bidder,RFP,Petrobras,Itapu,SAM,Brazil,1700,2200,ROV,26-Mar-2024,29-May-2024,ZXPLR,2000
202405_RFP_ONGC_BAS_IND_NOAR,7,Lost,24-Sep-2024,SAE L1 bidder,RFP,ONGC,Bassein Re-Tender,APAC,India,35,80,NOAR,14-May-2024,18-Jun-2024,Z700,10000
202407_DIR_BP_GGG_USA_ROV,,Award,18-Dec-2024,Direct Award - LTA,DIR,BP,GGG Paleogene,GOM,USA,900,1700,ROV,3-Jul-2024,n/a,ZXPLR,
202407_BQ_WOOD_ANG_AUS_,,No Sale,19-Feb-2025,Quiet,BQ,Woodside,Angel Platform,APAC,Australia,,,,29-Jul-2024,5-Aug-2024,,
202408_BQ_VIRI_CAM_CAM_NOAR,,No Sale,19-Feb-2025,Quiet,BQ,Viridien,Cameroon,WAF,Cameroon,,,NOAR,14-Aug-2024,,,
202408_RFP_EXXO_LIZ_GUY_ROV,5,Lost,3-Mar-2025,"PXGEO L1 (backed out due to tax calculation error), SW L2 (supposedly cheaper than TGS by $500K)",RFP,ExxonMobil,"Liza N2, Payara N1",SAM,Guyana,500,2300,ROV,19-Aug-2024,6-Sep-2024,"ZXPLR, MASS",3500
202409_RFP_AKER_IVA_NOR_NOAR,3,Award,18-Dec-2024,"Valhall awarded, Ivar Aasen postponed",RFP,AkerBP,"Ivar Aasen, Valhall",North Sea,Norway,100,120,NOAR,4-Sep-2024,7-Oct-2024,Z700,12000
202409_RFP_EXXO_LTP_GUY_ROV,6,No Sale,19-Feb-2025,Submitted to client,RFP,ExxonMobil,LTP Long Term Program,SAM,Guyana,500,2300,ROV,10-Sep-2024,1-Oct-2024,"ZXPLR, MASS",Variable
202409_BQ_AKER_IVA_NOR_NOAR,4,See RFP opp,19-Feb-2025,Submitted to client,BQ,AkerBP,"Ivar Aasen, Valhall",North Sea,Norway,100,120,NOAR,11-Sep-2024,23-Sep-2024,Z700,12000
202409_RFP_TULL_JUB_GHA_ROV,2,Lost,22-Oct-2025,Lost to SHearwater,RFP,Tullow,Jubilee,WAF,Ghana,500,2000,ROV,18-Sep-2024,18-Oct-2024,MASS,1000
202409_MC_TGS_AW1_USA_ROV,,Award,22-Oct-2025,Project a go,MC,TGS,AW1 Amendment West 1,GOM,USA,,,ROV,18-Sep-2024,6-Dec-2024,ZXPLR,
202409_RFI_TOTA_BLO_ANG_ROV,1,No Sale,19-Feb-2025,"Submitted to client, eval Jan-25",RFI,Total,"Block 17 Dalia, Jasmin, Tulipa",WAF,Angola,,,ROV,23-Sep-2024,14-Oct-2024,,
202409_MC_TGS_A4 _USA_ROV,,Award,19-Feb-2025,TGS to shoot,MC,TGS,A4 Amendment 4,GOM,USA,50,1000,ROV,23-Sep-2024,16-Dec-2024,ZXPLR,1000
202410_RFP_EQUI_BRE_NOR_NOAR,,Lost,19-Feb-2025,Lost to SAE,RFP,Equinor,Breidablikk,North Sea,Norway,,,NOAR,11-Oct-2024,7-Nov-2024,Z700,
202410_RFI_SHEL_JAC_NOR_NOAR,,No Sale,19-Feb-2025,Submitted to client,RFI,Shell,Jackdaw,North Sea,Norway,,,NOAR,11-Oct-2024,25-Oct-2024,,
202410_MC_TGS_AW2_USA_ROV,,No Sale,22-Apr-2025,Converted MC with Viridien partner (LacPh3),MC,TGS,AW2 Amendment West 2,GOM,USA,,,ROV,21-Oct-2024,30-Oct-2024,ZXPLR,
202410_BQ_TOTA_EGI_NIG_ROV-NOAR,,No Sale,19-Feb-2025,Prework TMAs complete,BQ,Total,"Egina, Ofon, Akpo, Etison, Venus",WAF,Nigeria,,,ROV-NOAR,28-Oct-2024,6-Nov-2024,,
202410_MC_TGS_CAR_BRA_ROV,,No Sale,19-Feb-2025,Quiet,MC,TGS,Carcara,SAM,Brazil,,,ROV,30-Oct-2024,13-Nov-2024,,
202411_BQ_ENI_ZOH_EGY_ROV,,No Sale,31-Mar-2025,No interest,BQ,ENI,Zohr,Middle East,Egypt,1000,1500,ROV,1-Nov-2024,11-Dec-2024,,
202411_BQ_PRIO_FRA_BRA_,,No Sale,18-Dec-2024,Quiet,BQ,Prio,Frade,SAM,Brazil,,,,1-Nov-2024,13-Nov-2024,,
202411_RFP_PETR_MER_BRA_PRM,,Lost,22-Apr-2025,Lost to SAE,RFP,Petrobras,MERO PRM Shoot,SAM,Brazil,,,PRM,5-Nov-2024,23-Dec-2024,n/a,n/a
202411_BQ_REPS_CCS_MEX_CCS,,No Sale,18-Dec-2024,,BQ,Repsol,CCS,GOM,Mexico,,,CCS,6-Nov-2024,13-Nov-2024,,
202411_MC_TGS_MAL_NOR_NOAR,,No Sale,22-Apr-2025,Pushed to 2026,MC,TGS,Maloy Slope,North Sea,Norway,,,NOAR,18-Nov-2024,1-Dec-2024,,
202411_RFP_EOG_LRL_TRI_NOAR,,Award,24-Mar-2025,LOA in progress,RFP,EOG,LRL Block,SAM,Trinidad,,,NOAR,25-Nov-2024,13-Jan-2025,Z700,12500
202412_MC_TGS_TRI_TRI_ROV,,No Sale,19-Feb-2025,TMA and #s submitted to MC,MC,TGS,Trinidad 3D,SAM,Trinidad,,,ROV,3-Dec-2024,12-Dec-2024,ZXPLR,
202412_RFI_VIRI_NOR_UK _NOAR,,Lost,6-Mar-2025,Lost to PXGEO,RFI,Viridien,North Sea,North Sea,UK or Norway,,,NOAR,13-Dec-2024,,,
202412_RFI_EQUI_PER_BRA_TS-NOAR,,No Sale,19-Dec-2024,Quiet,RFI,Equinor,Peregrino,SAM,Brazil,100,200,TS-NOAR,17-Dec-2024,,Z700,4500
202501_RFP_SHEL_MAL_MAL_ROV,,Lost,24-Jun-2025,Shearwater L1 bidder (SAE L2),RFP,Shell,Malikai,APAC,Malaysia,400,1200,ROV,15-Jan-2025,20-Feb-2025,MASS,1000
202502_BQ_PRIO_FRA_BRA_,,No Sale,19-Feb-2025,Quiet,BQ,Prio,Frade,SAM,Brazil,,,,6-Feb-2025,,,
202502_RFQ_VIRI_LAC_USA_ROV,,Award,22-Apr-2025,Partnership agreement with Viridien (LacPh3  + AW2),RFQ,Viridien,Laconia Phase 3,GOM,USA,1200,2400,ROV,6-Feb-2025,28-Feb-2025,ZXPLR,4200
202502_RFP_PETR_IAR_BRA_ROV,,Lost,22-Apr-2025,PXGEO L1,RFP,Petrobras,Iara & Sepia Monitor,SAM,Brazil,1900,2300,ROV,28-Feb-2025,17-Apr-2025,ZXPLR,3500
202503_BQ_NEWM_LEV_ISR_ROV,,No Sale,3-Jun-2025,Quiet,BQ,NewMed,Leviathan,Middle East,Israel,,,ROV,10-Mar-2025,,MASS,
